Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Interferon Gamma Response,0.527520204578912,2.684180618228495,0.0,0.0,0.0,114/190,28.22%,MVP;LY6E;UPP1;PSMB8;VAMP8;CDKN1A;ISG15;IRF5;PARP12;FAS;PML;CFB;IRF7;HLA-A;ICAM1;HLA-G;PSME1;CD40;HLA-B;PSMB10;ST3GAL5;UBE2L6;PSME2;ST8SIA4;RBCK1;STAT4;PELI1;NOD1;HLA-DMA;HLA-DRB1;IL4R;CD74;TNFAIP2;PSMB2;PSMB9;CFH;SERPING1;IFIT2;RIPK2;MYD88;PTPN6;IFIT3;PARP14;TAPBP;TRIM14;OASL;SP110;PSMA2;MX1;PNP;TNFAIP6;RTP4;HLA-DQA1;PTGS2;TRIM21;IFIT1;SECTM1;OGFR;IFI35;TAP1;RSAD2;IL15RA;SOCS1;CD86;LGALS3BP;HERC6;FCGR1A;IRF1;MX2;EPSTI1;C1R;CASP1;PLA2G4A;CIITA;NMI;B2M;CCL2;PIM1;CASP4;STAT2;IFNAR2;IFI27;ISG20;IRF9;C1S;PLSCR1;PSMA3;CD274;BPGM;STAT1;ITGB7;BST2;CSF2RB;SAMHD1;IFI44;IL2RB;FPR1;IL10RA;NAMPT;SELP;TNFSF10;DHX58;AUTS2;IFITM3;LYSMD2;ISOC1;VAMP5;NUP93;MARCHF1;OAS3;APOL6;PTPN2;CCL5;NLRC5
prerank,Interferon Alpha Response,0.5620066779366854,2.564470060041588,0.0,0.0,0.0,60/95,26.91%,LY6E;PSMB8;ISG15;PARP12;IRF7;MOV10;PSME1;PROCR;CSF1;UBE2L6;PSME2;IL4R;CD74;PSMB9;GBP2;HLA-C;CNP;IFIT2;RIPK2;IFIT3;PARP14;TRIM14;OASL;SP110;MX1;OAS1;RTP4;TRIM21;OGFR;IFI35;TAP1;RSAD2;LGALS3BP;HERC6;UBA7;IRF1;EPSTI1;CASP1;PARP9;NMI;MVB12A;TENT5A;B2M;STAT2;IFITM1;IFI27;ISG20;IRF9;LPAR6;C1S;PLSCR1;PSMA3;SELL;BST2;IFI44;LAMP3;CD47;DHX58;IFITM3;NUB1
prerank,p53 Pathway,0.5031009488894193,2.5611485905504554,0.0,0.0,0.0,82/191,18.32%,TAX1BP3;BAX;DDB2;IER5;SFN;S100A10;ITGB4;UPP1;CTSD;S100A4;RPL36;SPHK1;PLK3;RPS27L;ST14;ALOX15B;PERP;VAMP8;CDKN1A;BAIAP2;ZMAT3;MAPKAPK3;CDKN2A;DRAM1;HRAS;H2AJ;TM4SF1;TNFSF9;FAS;PIDD1;EPHA2;LIF;RACK1;RAP2B;PTPRE;EPS8L2;FUCA1;RPL18;FDXR;PMM1;SAT1;PROCR;TGFB1;PRMT2;IER3;VWA5A;KRT17;TRIAP1;PLXNB2;PDGFA;CDKN2B;TGFA;PCNA;DGKA;INHBB;ZFP36L1;STOM;SDC1;TPD52L1;NINJ1;CD81;DEF6;RPS12;TRAF4;HMOX1;TP63;AK1;TAP1;SOCS1;PLK2;CCND3;ZNF365;TNNI1;RRAD;TCN2;ERCC5;WRAP73;FAM162A;RNF19B;SLC3A2;CASP1;TSC22D1
prerank,Inflammatory Response,0.5060679150993485,2.5246986628434094,0.0,0.0,0.0,90/167,26.24%,SCN1B;TIMP1;LY6E;RHOG;EMP3;PLAUR;SPHK1;CDKN1A;GNA15;EBI3;TNFSF9;CD55;LIF;PTPRE;CD70;IRF7;ICAM1;KCNJ2;CCL22;ADRM1;IFNGR2;CCL17;CCL20;CD40;IL18;MARCO;HRH1;CSF1;LDLR;MET;TNFRSF1B;CHST2;HPN;IL4R;CLEC5A;LYN;CXCL8;IRAK2;CX3CL1;MMP14;RIPK2;CD14;DCBLD2;PTAFR;TAPBP;OSMR;AHR;TNFAIP6;OLR1;AXL;ITGB8;RTP4;NOD2;RELA;IL15RA;EREG;TLR2;AQP9;OSM;TNFSF15;INHBA;IL18R1;IRF1;P2RY2;ADM;PTGER4;NMI;MSR1;TPBG;CCL2;IFITM1;CYBB;SELL;PDPN;BST2;PTGIR;IL2RB;C5AR1;LAMP3;FPR1;IL10RA;NAMPT;CSF3R;IL1B;TNFSF10;HAS2;SGMS2;TNFRSF9;GABBR1;C3AR1
prerank,Allograft Rejection,0.5024757965842989,2.5136312517942634,0.0,0.0,0.0,96/172,28.15%,RPS19;TIMP1;RPS9;CAPG;CDKN2A;BCL3;FAS;LIF;IRF7;CCL13;HLA-A;ICAM1;SPI1;CCL22;IFNGR2;HLA-G;CD40;TGFB1;PSMB10;FLNA;IL18;CSF1;NCF4;ST8SIA4;STAT4;HLA-DMA;IL4R;CSK;CD74;LYN;GBP2;IGSF6;LY86;LTB;NME1;RIPK2;ITGB2;PTPN6;DEGS1;TAPBP;IL27RA;HLA-DRA;INHBB;RPL39;EIF5A;EIF3D;CTSS;HLA-DQA1;MMP9;RPL9;HLA-DOB;FCGR2B;C2;TAP1;ELF4;SOCS1;BCAT1;CD86;HLA-DOA;EREG;CCND3;TLR2;MAP4K1;CCR1;INHBA;WAS;IL2RG;FGR;CD4;B2M;CCL2;RPS3A;TAP2;IFNAR2;IL2RA;CCND2;STAT1;HLA-E;CD2;CD7;IL2RB;CD47;IL1B;CCR2;TGFB2;IL12RB1;HCLS1;APBB1;IFNGR1;UBE2D1;LY75;CFP;CCR5;CD3E;CD3D;CCL5
prerank,Epithelial Mesenchymal Transition,0.48454683453929875,2.5021804286307483,0.0,0.0,0.0,92/190,24.19%,LGALS1;PDLIM4;TIMP1;QSOX1;EMP3;PLAUR;CAPG;TNFRSF12A;FSTL3;FN1;CDH6;BASP1;COL8A2;FAS;BMP1;LOXL1;SDC4;MYL9;FUCA1;SERPINH1;PMEPA1;COMP;LAMC2;COL7A1;CRLF1;SAT1;DPYSL3;COL16A1;TGFB1;P3H1;FLNA;CTHRC1;COL1A1;COLGALT1;ANPEP;TNC;CDH11;CXCL8;NT5E;TGM2;MMP14;ITGA2;FGF2;LOX;MCM7;NNMT;PCOLCE;FAP;CD59;ITGB5;TGFBI;SDC1;BGN;DST;EFEMP2;IGFBP2;LUM;COL5A1;RGS4;IGFBP4;MMP2;COL11A1;TFPI2;SPP1;VCAN;INHBA;COL1A2;COL6A2;THBS2;IL32;MXRA5;FBN2;PRSS2;LRP1;COL3A1;PMP22;MATN3;GADD45A;LRRC15;GPC1;LAMA1;ADAM12;VIM;TPM4;SLIT2;ECM1;FBLN1;LAMA3;SFRP4;PLOD3;DCN;POSTN
prerank,Coagulation,0.5403293801307054,2.496171668874837,0.0,0.0,0.0,46/96,17.37%,TIMP1;PLAU;SERPINA1;ANG;GSN;S100A13;CTSH;PROS1;FN1;TMPRSS6;ANXA1;BMP1;S100A1;DUSP6;CLU;CRIP2;DPP4;CFB;PRSS23;MMP11;C3;CFI;COMP;GNB2;MMP7;RABIF;FYN;HPN;CFH;SERPING1;MMP14;ITGA2;RAC1;MAFF;C1QA;CTSE;OLR1;CTSK;MMP9;C2;APOC1;CAPN2;MMP2;TFPI2;MST1;C1R
prerank,TNF-alpha Signaling via NF-kB,0.4770602287488922,2.4218252722006595,0.0,0.0,0.0,78/187,20.75%,IER5;PHLDA2;PLAU;NFKBIE;PLAUR;SPHK1;LAMB3;NFKB2;CDKN1A;TRIP10;DRAM1;TNFSF9;BCL3;LIF;SDC4;PTPRE;RELB;DUSP4;DUSP5;TNIP1;CCND1;ICAM1;PMEPA1;SAT1;IFNGR2;CCL20;CEBPB;IL23A;G0S2;BTG3;IL18;CSF1;IER3;LDLR;TNIP2;TNC;STAT5A;TNFAIP2;TGIF1;IFIT2;MAP2K3;CXCL2;RIPK2;FOSL1;EFNA1;B4GALT5;SLC2A3;MAFF;EHD1;NINJ1;TNFAIP6;OLR1;CLCF1;PTGS2;RELA;ZC3H12A;BHLHE40;TAP1;IL15RA;PLK2;TLR2;F2RL1;BCL2A1;INHBA;RNF19B;IRF1;BIRC3;PTGER4;SLC2A6;TSC22D1;SERPINB8;CCL2;CEBPD;MSC;GADD45A;JUNB;CD83;TUBB2A
prerank,Apoptosis,0.44047447933656314,2.169853631705381,0.0,0.0,0.0,57/152,21.16%,BAX;GPX1;BCL2L1;TSPO;LGALS3;IGFBP6;TIMP1;GPX4;LMNA;BID;TNFRSF12A;GSN;CDKN1A;GNA15;CCNA1;CDC25B;ANXA1;FAS;CLU;KRT18;PMAIP1;CCND1;ERBB3;RARA;FDXR;SAT1;CASP6;BTG3;IL18;IER3;SLC20A1;PEA15;CD14;HSPB1;MGMT;TIMP2;ERBB2;BGN;PSEN2;HMOX1;LUM;RELA;TAP1;DAP3;EREG;MMP2;PLCB2;EBP;IRF1;BIRC3;CASP1;PPT1;CASP4;GADD45A;ISG20;SOD1;CCND2
prerank,Apical Junction,0.4298540485623635,2.1640978217148854,0.0,0.0,0.0,81/172,25.64%,RRAS;PFN1;ITGB4;ITGA3;NECTIN4;GRB7;CDH3;LAMB3;VASP;CD276;MDK;ALOX15B;BAIAP2;STX4;MYL12B;HRAS;CDH6;GNAI2;BMP1;SRC;CRB3;MYL9;SDC3;ICAM1;ICAM5;CLDN7;CLDN4;LAMC2;MPZL2;ADAM15;COL16A1;DSC3;NLGN2;MAPK13;RAC2;CLDN9;ACTN1;AMIGO2;ACTG1;ZYX;CDH11;CX3CL1;NECTIN1;ITGA2;TSPAN4;ARPC2;YWHAH;TGFBI;SIRPA;MYH10;MMP9;PARVA;CD86;SHC1;MMP2;CD99;JUP;SYMPK;ACTB;GAMT;VCAN;CDH4;CLDN11;THBS3;ACTN4;SORBS3;CERCAM;COL17A1;CNN2;SLIT2;CD274;LAMA3;GTF2F1;CADM3;CAP1;TUBG1;MAPK11;ADRA1B;NECTIN2;PCDH1;TRAF1
prerank,Complement,0.4183625481894579,2.1045706325795375,0.0,0.0,0.0,68/172,19.74%,LGALS3;TIMP1;PFN1;SIRT6;RHOG;SERPINA1;CTSD;PLAUR;PPP4C;ANG;STX4;S100A13;CTSH;FN1;TMPRSS6;CTSC;GNAI2;CD55;SRC;DUSP6;CLU;DUSP5;DPP4;CFB;IRF7;C3;S100A9;CEBPB;GNB2;SPOCK2;RABIF;FYN;FCER1G;RCE1;LYN;PSMB9;CFH;SERPING1;MMP14;ITGAM;CD59;MAFF;C1QA;TIMP2;EHD1;OLR1;CTSS;F5;C2;APOC1;APOBEC3F;MMP13;APOBEC3G;TFPI2;MSRB1;ANXA5;FCN1;IRF1;WAS;C1R;CASP1;PLA2G4A;C1QC;MMP12;LRP1;LTA4H;PIM1;CASP4
prerank,Estrogen Response Late,0.38784240291433386,1.9820982268266887,0.0,0.00018953154120731594,0.002,68/181,22.77%,KRT19;GALE;SFN;LSR;ALDH3B1;SULT2B1;SERPINA1;NBL1;ST14;MDK;PERP;EMP2;CCNA1;GJB3;RNASEH2A;KLK10;PLAAT3;SCNN1A;TST;SEMA3B;CCND1;PRSS23;CXCL14;LAMC2;NAB2;S100A9;PTGES;MAPK13;TFAP2C;BTG3;KRT13;IGSF1;SIAH2;NXT1;NMU;PTPN6;TRIM29;AGR2;GINS2;TIAM1;PLXNB1;TPD52L1;KLK11;RAPGEFL1;ASS1;BATF;IGFBP4;TPSAB1;TFPI2;SLC27A2;RAB31;PGR;MICB;DHRS2;TSPAN13;PKP3;BAG1;SNX10;TPBG;LLGL2;ISG20;CCN5;OVOL2;CAV1;FABP5;NRIP1;ATP2B4;ITPK1
prerank,IL-6/JAK/STAT3 Signaling,0.4374384933290885,1.9227364178312454,0.0,0.0003499043837673525,0.004,40/76,28.43%,TNFRSF1A;TNFRSF12A;EBI3;FAS;IFNGR2;TNFRSF21;TGFB1;CSF1;TNFRSF1B;IL4R;LTB;CD14;MYD88;OSMR;CSF2RA;IL10RB;CRLF2;HMOX1;IL1R2;IL15RA;SOCS1;IL13RA1;TLR2;LTBR;CCR1;IL18R1;IRF1;IL2RG;PIM1;STAT2;IL2RA;IRF9;STAT1;CSF2RB;CSF3R;IL1B;IL12RB1;IFNGR1;PTPN2;PIK3R5
prerank,IL-2/STAT5 Signaling,0.36995880240776613,1.8766109492244607,0.0,0.0004873668202473838,0.006,76/182,26.93%,BCL2L1;SYNGR2;GPX4;MUC1;CAPG;GSTO1;ETV4;BATF3;LIF;S100A1;DHRS3;TNFRSF18;SLC1A5;PRAF2;MAPKAPK2;TNFRSF21;CSF1;TNFRSF1B;ANXA4;MYO1C;IL4R;NT5E;LTB;TGM2;PUS1;PLEC;WLS;FLT3LG;RNH1;PTRH2;SLC2A3;MAFF;AHR;TIAM1;PNP;CD81;CDKN1C;TTC39B;CDCP1;PLIN2;IL1RL1;BHLHE40;IL1R2;AGER;SOCS1;CD86;BATF;CCND3;SPP1;IL18R1;GLIPR2;NFKBIZ;PIM1;CCNE1;IL2RA;CD83;CTSZ;CCND2;DCPS;PLSCR1;ALCAM;SELL;ECM1;CTLA4;TNFRSF4;CST7;IL2RB;PDCD2L;IL10RA;SELP;TNFSF10;TRAF1;TNFRSF9;SERPINB6;IFITM3;IFNGR1
prerank,DNA Repair,0.3722873220870275,1.845261494998772,0.0,0.0005306883153804845,0.007,79/146,35.90%,DDB2;GPX4;SAC3D1;GUK1;TAF10;MPG;IMPDH2;POLD4;ADRM1;POLR2I;POLD1;DGUOK;TYMS;POLR2H;NME3;ERCC1;POLE4;NME1;RBX1;PCNA;ITPA;NELFE;NT5C;ELL;RFC2;PNP;POLR2E;APRT;VPS28;AK1;POLR3C;ALYREF;RAD51;POLA2;NELFB;TK2;ERCC5;POLR2J;RFC4;CANT1;TAF12;SUPT5H;STX3;TP53;MPC2;EDF1;GTF2F1;LIG1;GSDME;POLL;FEN1;POLR1D;HCLS1;GTF3C5;GTF2H5;HPRT1;POLR2G;RALA;POLR2D;NPR2;TAF9;RRM2B;CMPK2;DUT;GTF2B;TARBP2;CCNO;ZNF707;GTF2A2;ADA;SUPT4H1;CSTF3;CDA;BCAP31;NME4;XPC;RPA2;RPA3;POLR1C
prerank,Myc Targets V1,0.3560502162848862,1.8395615937724967,0.0,0.0004975202956692043,0.007,65/198,21.31%,RPS2;SRM;RRP9;RPL14;RPS3;RPLP0;RACK1;LSM7;IMPDH2;RPL18;SNRPD2;RPS10;MCM5;RPL34;MRPL9;TYMS;PSMB3;PSMA7;RPS6;PSMA1;EEF1B2;RPS5;SSBP1;PSMB2;NME1;SNRPD1;MRPL23;PCNA;MCM7;LSM2;CBX3;PSMA2;RANBP1;SNRPA;EIF3D;FBL;MCM4;PPM1G;PRPF31;PABPC4;NOP16;MCM6;SNRPG;CDC45;EIF3B;HDGF;CCT3;LDHA;PRDX4;NAP1L1;RUVBL2;CCT7;PSMA4;NHP2;RFC4;HNRNPA1;NDUFAB1;PPIA;PABPC1;RNPS1;SNRPB2;KARS1;MCM2;AP3S1;APEX1
prerank,KRAS Signaling Up,0.3559207647956245,1.790455085075044,0.0,0.0012040827323758895,0.018,61/172,19.97%,SCN1B;KCNN4;SLPI;PLAU;PLAUR;PSMB8;ETV4;LIF;DUSP6;ANGPTL4;SEMA3B;CFB;FUCA1;TMEM176A;MMP11;MPZL2;CCL20;TMEM176B;G0S2;ALDH1A3;PCSK1N;CLEC4A;VWA5A;TNFRSF1B;FCER1G;CFH;LAT2;ITGB2;ITGA2;DCBLD2;ADAM8;TMEM100;CSF2RA;LAPTM5;GLRX;LY96;IL1RL2;SPON1;CTSS;GPNMB;PTGS2;ERO1A;MMP9;TRIB2;EREG;JUP;MAP4K1;F2RL1;SPP1;APOD;ETV5;TSPAN1;INHBA;LCP1;IL2RG;BIRC3;TSPAN13;CD37;TOR1AIP2;SCG5;ETV1
prerank,Reactive Oxygen Species Pathway,0.4198669625414164,1.6935601280616583,0.0,0.0034747449221341252,0.054,18/47,20.98%,GPX4;TXN;PDLIM1;EGLN2;PRDX6;CDKN2D;FTL;MGST1;MSRA;GLRX;LSP1;LAMTOR5;FES;PRDX4;GLRX2;SBNO2;JUNB;SOD1
prerank,Hypoxia,0.3188486111902288,1.6160709440549292,0.0015625,0.007002691680396619,0.11,59/180,20.93%,ANXA2;SULT2B1;S100A4;PLAUR;CAVIN1;CDKN1A;STBD1;SDC4;ANGPTL4;HS3ST1;GALK1;SDC3;B3GALT6;KDELR3;CASP6;IER3;ENO1;CHST2;PAM;CAVIN3;TGM2;SIAH2;EFNA1;LOX;SLC2A3;MAFF;TGFBI;PKP1;NAGK;AK4;GLRX;BGN;CDKN1C;PFKL;HMOX1;MIF;ERO1A;EFNA3;PLIN2;BHLHE40;P4HA2;COL5A1;SLC6A6;SLC2A1;GAPDH;LDHA;IDS;FAM162A;PGM1;ADM;TPBG;HEXA;FBP1;SLC37A4;PIM1;GPC1;PLAC8;ISG20;CCN5
