sample,beta
TCGA-EM-A2OZ-01A,0.433191510095097
TCGA-EM-A3AO-01A,0.330512500323345
TCGA-EM-A1CT-11A,0.765738434919708
TCGA-ET-A3BW-01A,0.721618270516428
TCGA-E8-A44M-01A,0.556029055664687
TCGA-EL-A3GS-01A,0.246153133836861
TCGA-MK-A84Z-01A,0.419497706095102
TCGA-ET-A40R-01A,0.321454207467416
TCGA-EL-A3ZG-01A,0.752135639087128
TCGA-EM-A2CL-01A,0.723700632639922
TCGA-DJ-A2PR-01A,0.458791069909953
TCGA-EL-A3CS-01A,0.647385073058445
TCGA-DJ-A13T-01A,0.371138820146072
TCGA-DO-A1JZ-11A,0.840687683575307
TCGA-EL-A3ZH-01A,0.712553697787908
TCGA-ET-A3DP-01A,0.526488184386582
TCGA-DJ-A3VM-01A,0.470475273079475
TCGA-ET-A2N0-01A,0.396369742763606
TCGA-EM-A2CR-01A,0.230040928935611
TCGA-DJ-A4UQ-01A,0.317145007072227
TCGA-BJ-A3PT-01A,0.583166027457758
TCGA-EL-A3ZG-11A,0.798846355013634
TCGA-EM-A3O3-01A,0.261352022984664
TCGA-J8-A4HY-01A,0.424506357728617
TCGA-H2-A3RH-01A,0.28797099433092
TCGA-BJ-A190-01A,0.746957201448663
TCGA-J8-A3O2-06A,0.379289161632726
TCGA-DJ-A3UV-01A,0.482620298210523
TCGA-FE-A3PB-01A,0.33255238217472
TCGA-DJ-A2Q9-01A,0.586012265465226
TCGA-DE-A3KN-01A,0.269901663813937
TCGA-EM-A3FK-01A,0.23839427837273
TCGA-ET-A25P-01A,0.396438914175631
TCGA-ET-A25I-01A,0.622160172884168
TCGA-EM-A1YC-01A,0.739449115103027
TCGA-CE-A3MD-01A,0.241597272186651
TCGA-BJ-A4O8-01A,0.415608306231306
TCGA-EM-A3SZ-01A,0.393357965209498
TCGA-EM-A2CO-01A,0.707857310481279
TCGA-DO-A1JZ-01A,0.188953623223093
TCGA-EM-A3AP-01A,0.202778285752472
TCGA-EL-A3ZH-11A,0.761425116610322
TCGA-DJ-A3VI-01A,0.298598662476584
TCGA-BJ-A2N9-11A,0.768020254794729
TCGA-BJ-A2N9-01A,0.856953694371478
TCGA-ET-A3DP-11A,0.811772303067816
TCGA-EL-A3GY-01A,0.447687031309348
TCGA-EL-A3ZN-01A,0.342959108379936
TCGA-MK-A4N9-01A,0.345896260108673
TCGA-EM-A1CW-01A,0.758558411230548
TCGA-DJ-A3VA-01A,0.436608390839719
TCGA-EL-A3D6-01A,0.367408475362295
TCGA-E8-A437-01A,0.41211978342958
TCGA-ET-A40T-01A,0.290937246062995
TCGA-EM-A2CM-01A,0.146823989068734
TCGA-EL-A3ZQ-01A,0.415196267931464
TCGA-BJ-A0Z3-01A,0.511072722357487
TCGA-EM-A3AL-01A,0.63601235638615
TCGA-DJ-A2PP-01A,0.745176832118303
TCGA-EL-A3ZM-01A,0.168630608751736
TCGA-FE-A3PA-01A,0.271472103159379
TCGA-BJ-A0Z5-01A,0.5127279469343
TCGA-ET-A25R-01A,0.258055141420192
TCGA-EM-A4FM-01A,0.181501727612017
TCGA-DJ-A2PU-01A,0.618113122688528
TCGA-EM-A1YC-11A,0.769333900894839
TCGA-DJ-A2Q5-01A,0.471248031000797
TCGA-EM-A3SX-01A,0.388895942820254
TCGA-ET-A39J-01A,0.420976305107004
TCGA-EM-A3O6-01A,0.732962053412514
TCGA-EL-A3N2-11A,0.728114365157384
TCGA-EL-A3H3-01A,0.310717310324304
TCGA-DJ-A3V6-01A,0.27028475257704
TCGA-IM-A3EB-01A,0.287369557870662
TCGA-EL-A3GZ-11A,0.807277996773622
TCGA-DJ-A1QI-01A,0.312076508156024
TCGA-DJ-A13X-01A,0.574976871752889
TCGA-EL-A3CN-01A,0.343241789185441
TCGA-KS-A41L-01A,0.784220478164738
TCGA-EL-A3CM-01A,0.272570350859374
TCGA-DJ-A2QC-01A,0.543288717572267
TCGA-EM-A1CW-11A,0.812456277467037
TCGA-DJ-A1QN-01A,0.535980113792342
TCGA-EL-A3CR-01A,0.259039311189281
TCGA-E8-A414-01A,0.494007078395352
TCGA-EM-A22P-01A,0.464712379550993
TCGA-ET-A4KQ-01A,0.39884076811966
TCGA-EM-A3OA-01A,0.840008723829149
TCGA-BJ-A191-01A,0.162055800554104
TCGA-EM-A3FR-01A,0.827268938453666
TCGA-BJ-A0ZF-01A,0.438143764983215
TCGA-EM-A2CN-01A,0.444151225868628
TCGA-BJ-A0ZA-01A,0.572814460955632
TCGA-EM-A1CU-11A,0.803092069871892
TCGA-BJ-A3PU-11A,0.792183307001558
TCGA-EM-A1CU-01A,0.330663207514357
TCGA-FY-A3TY-11A,0.750250105743909
TCGA-FY-A3ON-01A,0.243641492711267
TCGA-ET-A2MZ-01A,0.589911572745789
TCGA-E3-A3DZ-01A,0.62225527795431
TCGA-E8-A242-01A,0.35777979024216
TCGA-ET-A3BQ-01B,0.348227228745732
TCGA-ET-A25J-11A,0.700926397485323
TCGA-EL-A3D4-01A,0.342127271091098
TCGA-EM-A3AK-01A,0.44107322825867
TCGA-KS-A4I9-01A,0.374130146602197
TCGA-EL-A3GQ-01A,0.456542665003319
TCGA-FY-A3TY-01A,0.544874846820032
TCGA-EL-A4JW-01A,0.355739160526456
TCGA-EM-A1YA-01A,0.615878893863704
TCGA-J8-A3YD-01A,0.563048923689175
TCGA-J8-A3O0-01A,0.161232713921649
TCGA-FY-A3WA-01A,0.797192589739141
TCGA-BJ-A28R-11A,0.78653439435277
TCGA-DJ-A2PV-01A,0.285070784160536
TCGA-J8-A42S-01A,0.491110926801216
TCGA-E3-A3E3-01A,0.358573414652995
TCGA-BJ-A3PU-01A,0.240896920443381
TCGA-IM-A41Y-01A,0.281043266851381
TCGA-ET-A2MX-01A,0.156407772761076
TCGA-DE-A4MB-01A,0.214886101257276
TCGA-KS-A4IC-01A,0.389686372860767
TCGA-EM-A2OV-01A,0.691955013061964
TCGA-BJ-A28S-01A,0.717100658701986
TCGA-EM-A4FQ-01A,0.275094464624535
TCGA-FY-A3I5-01B,0.791615842694399
TCGA-E3-A3E0-01A,0.314340562083174
TCGA-ET-A3DS-01A,0.814538095875223
TCGA-EM-A3AN-01A,0.232682143313571
TCGA-EL-A3CP-01A,0.390728100776759
TCGA-DE-A0XZ-01A,0.444589415168671
TCGA-DJ-A3V9-01A,0.379316841289293
TCGA-E3-A3E5-01A,0.408625242114978
TCGA-EM-A3O7-01A,0.71129461899429
TCGA-ET-A3BN-01A,0.260656735332005
TCGA-EL-A3CY-01A,0.629190373606245
TCGA-ET-A3DW-01A,0.209694227886255
TCGA-EL-A3ZO-01A,0.266165976025597
TCGA-ET-A3DW-11A,0.784496908672845
TCGA-ET-A25L-01A,0.257197438911149
TCGA-EL-A4JZ-01A,0.333466651101992
TCGA-ET-A3BU-01A,0.302614629720737
TCGA-DJ-A13R-01A,0.67019321011211
TCGA-EM-A4FH-01A,0.793347406006682
TCGA-E8-A433-01A,0.371266959901988
TCGA-EM-A2CP-01A,0.754925022678579
TCGA-ET-A25K-01A,0.401825057047978
TCGA-DJ-A13W-01A,0.731417528957075
TCGA-FE-A236-01A,0.696225581417428
TCGA-EM-A3AQ-01A,0.362028580519188
TCGA-EL-A3ZO-11A,0.700578057263252
TCGA-EL-A3ZK-01A,0.293376181025778
TCGA-ET-A39P-01A,0.471393044688239
TCGA-EL-A3ZK-11A,0.716447868251879
TCGA-FY-A40N-01A,0.613272500450834
TCGA-ET-A2N4-01A,0.478969236207592
TCGA-FY-A40L-01A,0.27170053036197
TCGA-EL-A3CL-01A,0.240903170580913
TCGA-DJ-A3V3-01A,0.358805996707131
TCGA-CE-A27D-01A,0.629819545962119
TCGA-ET-A40Q-01A,0.20585238991741
TCGA-ET-A4KN-01A,0.428190601849889
TCGA-FE-A237-01A,0.493507949954993
TCGA-FE-A22Z-01A,0.228128570765649
TCGA-EM-A2CS-01A,0.32961133477068
TCGA-DJ-A3UY-01A,0.345732788290765
TCGA-EL-A3N3-11A,0.782835743110921
TCGA-J8-A3O2-01A,0.540043012829622
TCGA-ET-A3DO-01A,0.421494338546179
TCGA-BJ-A18Z-01A,0.343406237147639
TCGA-EM-A4FK-01A,0.52546351977733
TCGA-EL-A4K0-01A,0.29024078234082
TCGA-EL-A3ZT-01A,0.259877311373306
TCGA-EL-A3T3-11A,0.753751917069493
TCGA-BJ-A28Z-01A,0.464657914230757
TCGA-FY-A40M-01A,0.359091554114927
TCGA-BJ-A45H-01A,0.455546912649918
TCGA-ET-A2N5-11B,0.795109037313569
TCGA-DE-A7U5-01A,0.362276925998875
TCGA-DJ-A4UP-01A,0.481915558097848
TCGA-KS-A41J-01A,0.337334052975032
TCGA-H2-A2K9-01A,0.507344411072357
TCGA-EM-A1CT-01A,0.366064685227185
TCGA-H2-A2K9-11A,0.808426795855345
TCGA-EL-A4KI-01A,0.410984356345834
TCGA-DJ-A3UP-01A,0.437798897043972
TCGA-CE-A481-01A,0.363316615080023
TCGA-DJ-A1QM-01A,0.656011841194582
TCGA-DJ-A3UQ-01A,0.350638262870471
TCGA-ET-A39I-01A,0.602279340183328
TCGA-EL-A3GZ-01A,0.541335701595388
TCGA-J8-A3NZ-01A,0.392579958249973
TCGA-L6-A4ET-01A,0.619046496323306
TCGA-BJ-A290-11A,0.746955412473492
TCGA-BJ-A290-01A,0.47541211441367
TCGA-EL-A4K4-01A,0.305265734166139
TCGA-FY-A3NP-01A,0.470756499016335
TCGA-EL-A3N3-01A,0.383532873082872
TCGA-J8-A4HW-01A,0.144009526141305
TCGA-J8-A4HW-06A,0.500716618448849
TCGA-ET-A3BO-01A,0.375669689344361
TCGA-DJ-A3UU-01A,0.384269198654248
TCGA-EL-A3D5-01A,0.797446101004231
TCGA-FY-A4B3-01A,0.218471351367495
TCGA-J8-A3YF-01A,0.342506862470597
TCGA-EL-A3H2-11A,0.766385591789572
TCGA-EL-A3H2-01A,0.58803860987989
TCGA-DJ-A3V4-01A,0.316375719429124
TCGA-EL-A4K6-01A,0.557441770937551
TCGA-EL-A3CW-01A,0.674793063851676
TCGA-DJ-A3UW-01A,0.502868361449679
TCGA-EL-A3D0-01A,0.150941343015917
TCGA-BJ-A291-01A,0.629705620174331
TCGA-ET-A3BV-01A,0.347565114652575
TCGA-DJ-A1QH-01A,0.204520934876474
TCGA-FY-A76V-01A,0.517183173455058
TCGA-ET-A2N5-01A,0.686769821199754
TCGA-DO-A2HM-01B,0.553967402396603
TCGA-DE-A2OL-01A,0.583533464851466
TCGA-ET-A25M-01A,0.360817194521491
TCGA-H2-A421-01A,0.37870361202256
TCGA-EL-A3GX-01A,0.32229167176164
TCGA-BJ-A0Z9-01A,0.341427109237342
TCGA-EL-A3T0-11A,0.768576233358244
TCGA-EL-A3T0-01A,0.538702084296437
TCGA-EL-A4K9-01A,0.299180440140024
TCGA-BJ-A0ZJ-01A,0.486941943765909
TCGA-EL-A3T9-01A,0.25953860967466
TCGA-FK-A3SB-01A,0.406195977153425
TCGA-EM-A1YD-01A,0.746484075235956
TCGA-EL-A3T2-11A,0.729712386813835
TCGA-FY-A3R6-01A,0.50112926946774
TCGA-DJ-A3V7-01A,0.271103804992971
TCGA-E8-A417-01A,0.334216874246959
TCGA-EM-A3FM-01A,0.261312828850854
TCGA-DJ-A4UW-01A,0.35878814185826
TCGA-EL-A3T6-01A,0.336029760439177
TCGA-EM-A3O8-01A,0.756569173139229
TCGA-ET-A3BP-01A,0.288680030712329
TCGA-EL-A3T1-01A,0.358168493465688
TCGA-DJ-A3VK-01A,0.738648693280802
TCGA-EL-A3T8-01A,0.394316160941747
TCGA-EM-A2OX-01A,0.354503857185689
TCGA-DJ-A13V-01A,0.677960010005549
TCGA-L6-A4EP-01A,0.517196399601601
TCGA-DJ-A2Q2-01A,0.740834756622079
TCGA-ET-A39R-01A,0.500095638720493
TCGA-DJ-A3UT-01A,0.773917553652209
TCGA-CE-A13K-01A,0.255428165132307
TCGA-DJ-A3V8-01A,0.436607837071634
TCGA-DJ-A2PX-01A,0.583381953459191
TCGA-EL-A4K2-01A,0.76148433472444
TCGA-EL-A3ZS-01A,0.416012748620625
TCGA-BJ-A28T-01A,0.735607118631124
TCGA-DJ-A3UZ-01A,0.618041664484402
TCGA-BJ-A0ZE-01A,0.426830272556275
TCGA-EL-A3T7-01A,0.190147293182011
TCGA-EL-A3T7-11A,0.680976670272536
TCGA-FE-A230-01A,0.42257472529935
TCGA-EL-A4KD-01A,0.233563067895973
TCGA-EM-A3FO-01A,0.115159574875265
TCGA-FK-A3SE-01A,0.257968685611566
TCGA-BJ-A192-01A,0.293998469735068
TCGA-BJ-A28X-01A,0.527769490801374
TCGA-FY-A2QD-01A,0.748927743429369
TCGA-DJ-A4V4-01A,0.40029200861669
TCGA-EM-A1YB-01A,0.237535221255943
TCGA-DO-A1K0-01A,0.22194277346322
TCGA-EM-A4FF-01A,0.327496561594638
TCGA-DJ-A3V0-01A,0.296511762775181
TCGA-BJ-A28V-01A,0.667997820167223
TCGA-ET-A25O-01A,0.355050610872444
TCGA-BJ-A45G-01A,0.463814790996045
TCGA-QD-A8IV-01A,0.702738080549243
TCGA-E8-A415-01A,0.467875904543526
TCGA-FE-A235-01A,0.369948394237887
TCGA-DJ-A13L-01A,0.454643654383791
TCGA-ET-A3BS-01A,0.622357720717927
TCGA-DJ-A3UR-01A,0.709976081735116
TCGA-EM-A4G1-01A,0.512602899885199
TCGA-DE-A4MD-01A,0.0874723206713862
TCGA-FY-A3I4-01A,0.424985600311809
TCGA-DJ-A1QG-01A,0.50599267193198
TCGA-BJ-A2N7-01A,0.739753391007464
TCGA-E8-A413-01A,0.589032747202896
TCGA-KS-A4IB-01A,0.148825667336414
TCGA-EM-A3AJ-01A,0.438760499390813
TCGA-DJ-A1QD-01A,0.42815107267821
TCGA-DJ-A3UO-01A,0.400094501921146
TCGA-DJ-A4V2-01A,0.300251970380681
TCGA-EM-A2CJ-01A,0.676418415281428
TCGA-DJ-A1QE-01A,0.232977172281318
TCGA-IM-A3U3-01A,0.35543141271321
TCGA-EL-A4K7-01A,0.156276685113936
TCGA-FE-A238-01A,0.474697256295614
TCGA-EL-A3ZL-11A,0.817103692799688
TCGA-KS-A4I7-01A,0.374744327492843
TCGA-EL-A3H4-01A,0.245756613518335
TCGA-EM-A22K-01A,0.722232629288181
TCGA-EM-A1YE-11A,0.734526067812463
TCGA-EM-A4FO-01A,0.487881252404289
TCGA-4C-A93U-01A,0.228685126034627
TCGA-ET-A2N1-01A,0.301757451543017
TCGA-BJ-A45D-01A,0.388976779554196
TCGA-H2-A26U-01A,0.336635040883831
TCGA-EL-A3MX-11A,0.737498703129394
TCGA-EM-A1CS-11A,0.78082386171842
TCGA-E8-A418-01A,0.209216568807868
TCGA-E8-A434-01A,0.503397829640884
TCGA-DJ-A2Q4-01A,0.293935028252181
TCGA-ET-A39M-01A,0.435102171178686
TCGA-MK-A4N7-01A,0.390993731262134
TCGA-EM-A22I-01A,0.264549990029336
TCGA-ET-A3DQ-01A,0.445037073639985
TCGA-E3-A3E2-01A,0.517212224390892
TCGA-BJ-A0YZ-01A,0.205559044897962
TCGA-BJ-A2NA-01A,0.309290459160158
TCGA-DJ-A1QF-01A,0.452734469616311
TCGA-BJ-A3PR-01A,0.653096623667131
TCGA-DJ-A2PZ-01A,0.271988290172681
TCGA-EL-A4KH-01A,0.631729576813929
TCGA-FE-A231-01A,0.129724844841529
TCGA-FY-A4B0-01A,0.525492544599873
TCGA-EM-A3AR-01A,0.629393322010983
TCGA-BJ-A45J-01A,0.168098906836848
TCGA-EL-A3T3-01A,0.301925551116475
TCGA-EM-A2CQ-01A,0.735716258849392
TCGA-EM-A2CU-01A,0.349982561819552
TCGA-EM-A4FV-01A,0.407657247601473
TCGA-DJ-A3UN-01A,0.434261467683568
TCGA-EL-A4JX-01A,0.445442015891065
TCGA-ET-A39K-01A,0.291381569464043
TCGA-EM-A1CV-11A,0.826798609562991
TCGA-FK-A3S3-01A,0.392939053035345
TCGA-EL-A3CU-01A,0.360498483887868
TCGA-EL-A3MY-01A,0.23679392454375
TCGA-ET-A39T-01A,0.58680609664992
TCGA-EM-A2CS-06A,0.486593130055011
TCGA-GE-A2C6-01A,0.452342564155631
TCGA-DJ-A2Q7-01A,0.359359540561615
TCGA-DJ-A3V2-01A,0.618325151808926
TCGA-DE-A69K-01A,0.307162235160016
TCGA-DJ-A13O-01A,0.518224825663212
TCGA-EM-A22Q-01A,0.250847779476179
TCGA-BJ-A0Z2-01A,0.471753878860987
TCGA-DJ-A2Q8-01A,0.41626349183344
TCGA-E8-A2JQ-01A,0.42716544103328
TCGA-EL-A3CV-01A,0.586195575498227
TCGA-FY-A3NM-01A,0.778371861980558
TCGA-EM-A3FQ-06A,0.250293143862267
TCGA-FE-A239-01A,0.849679550143639
TCGA-KS-A4I3-01A,0.598529554800181
TCGA-DJ-A4V0-01A,0.593049540361884
TCGA-EL-A3H7-01A,0.32083529395032
TCGA-BJ-A3PR-11A,0.762226109557903
TCGA-EM-A3O9-01A,0.436884715682863
TCGA-EL-A3N2-01A,0.38606312673345
TCGA-FK-A3SD-01A,0.666820299517184
TCGA-FE-A3PD-01A,0.258060426030527
TCGA-DJ-A2PT-01A,0.384162805165582
TCGA-IM-A4EB-01A,0.389283049064233
TCGA-BJ-A45E-01A,0.714032258799132
TCGA-BJ-A2N8-01A,0.464877394669499
TCGA-BJ-A0Z0-01A,0.768221069527352
TCGA-EL-A3MY-11A,0.766577956356336
TCGA-EL-A4JV-01A,0.718816946019078
TCGA-KS-A41I-01A,0.373524915310382
TCGA-DE-A0Y2-01A,0.370405627158927
TCGA-BJ-A0ZC-01A,0.795653731372853
TCGA-BJ-A2N8-11A,0.811312256896397
TCGA-DJ-A4UL-01A,0.370347978398786
TCGA-EM-A1CV-01A,0.612842244333954
TCGA-EM-A3AI-01A,0.736188294010755
TCGA-DJ-A3US-01A,0.461814627175158
TCGA-EM-A22O-01A,0.521012345949528
TCGA-KS-A4I1-01A,0.239196943128084
TCGA-DJ-A3V5-01A,0.255357468015638
TCGA-EM-A2P0-01A,0.366607816178111
TCGA-EM-A2CK-01A,0.810941476654534
TCGA-CE-A483-01A,0.488530513525168
TCGA-DE-A4MC-01A,0.254490205988973
TCGA-ET-A39N-01A,0.167185781812918
TCGA-DE-A4M9-01A,0.561129589004513
TCGA-ET-A3BX-01A,0.225215703641099
TCGA-KS-A4ID-01A,0.492153121206599
TCGA-BJ-A45K-01A,0.591839232159798
TCGA-EM-A3OB-01A,0.655646954338436
TCGA-EL-A3T2-01A,0.489388616039508
TCGA-EL-A3H1-11A,0.770545039376795
TCGA-EM-A4FR-01A,0.185593538885905
TCGA-EM-A22M-01A,0.548351816531323
TCGA-DJ-A13U-01A,0.485330224133425
TCGA-H2-A422-01A,0.198266573085504
TCGA-EL-A3CX-01A,0.240196601045295
TCGA-EL-A3T6-11A,0.757538741307214
TCGA-E8-A2EA-01A,0.448504605662435
TCGA-EL-A3T8-11A,0.693552686475225
TCGA-CE-A485-01A,0.423138140920632
TCGA-EM-A2P1-06A,0.45270612022732
TCGA-ET-A3DR-01A,0.267644053564951
TCGA-J8-A3YH-01A,0.506248884378427
TCGA-ET-A2N3-01B,0.735342817820175
TCGA-E8-A419-01A,0.443731926192627
TCGA-DJ-A2PS-01A,0.5600390194554
TCGA-EL-A3TB-11A,0.676728172126716
TCGA-BJ-A3F0-01A,0.649323696697386
TCGA-BJ-A28W-11A,0.765998783708868
TCGA-E8-A44K-01A,0.310038980081509
TCGA-BJ-A28T-11A,0.814945814843898
TCGA-E8-A432-01A,0.246131475880032
TCGA-EL-A3GO-01A,0.360726408434312
TCGA-BJ-A18Y-01A,0.78920353165499
TCGA-EM-A22L-01A,0.580636496139377
TCGA-DJ-A2Q3-01A,0.486077337351901
TCGA-DJ-A2Q6-01A,0.320198698335851
TCGA-L6-A4EU-01A,0.243198319702398
TCGA-BJ-A28X-11A,0.715784701792012
TCGA-FY-A3NN-01A,0.44602144490062
TCGA-ET-A3DV-01A,0.743720961859501
TCGA-EM-A3FP-01A,0.311279031067619
TCGA-EL-A3D1-01A,0.243264993600919
TCGA-BJ-A3EZ-01A,0.184478868059742
TCGA-EM-A22N-01A,0.763406763626723
TCGA-H2-A3RI-01A,0.477733929464503
TCGA-ET-A3DU-01A,0.455623947032521
TCGA-DJ-A4UR-01A,0.282191040907699
TCGA-EM-A3FJ-01A,0.632383589535983
TCGA-EM-A2P3-01A,0.375449928982333
TCGA-EM-A2CT-01A,0.823904424031946
TCGA-ET-A40S-01A,0.372131245394343
TCGA-DJ-A13P-01A,0.703582571921207
TCGA-J8-A3YE-01A,0.444883450656523
TCGA-DJ-A3VL-01A,0.366671923610459
TCGA-EL-A3TA-01A,0.571907706335436
TCGA-ET-A39L-01A,0.495697154325022
TCGA-DJ-A2PW-01A,0.223098272213324
TCGA-DJ-A3UM-01A,0.41139171008467
TCGA-IM-A3ED-01A,0.288219201921086
TCGA-FY-A3YR-01A,0.210628627386968
TCGA-DJ-A2PO-01A,0.704615168269625
TCGA-DJ-A3VD-01A,0.535607022069448
TCGA-L6-A4EQ-01A,0.697264742180162
TCGA-BJ-A45F-01A,0.661892046983623
TCGA-BJ-A0ZB-01A,0.165980584595681
TCGA-E8-A436-01A,0.468409784324527
TCGA-MK-A4N6-01A,0.332441278500995
TCGA-DJ-A3VE-01A,0.292064261576354
TCGA-FE-A234-01A,0.464146535368098
TCGA-ET-A25G-01A,0.187395148503515
TCGA-BJ-A2P4-01A,0.672599218740572
TCGA-CE-A484-01A,0.198497035791855
TCGA-EM-A1CS-01A,0.560067007962241
TCGA-DJ-A3VJ-01A,0.372226973518297
TCGA-KS-A4I5-01A,0.287616900804333
TCGA-ET-A2MY-01A,0.24819920342166
TCGA-EL-A3GV-01A,0.512715844919869
TCGA-ET-A25N-01A,0.237040144004797
TCGA-E8-A438-01A,0.290436663682704
TCGA-DJ-A1QO-01A,0.211918417721118
TCGA-GE-A2C6-11A,0.773330303141415
TCGA-FY-A3W9-01A,0.357832371995299
TCGA-ET-A40P-01A,0.444032150635497
TCGA-IM-A3U2-01A,0.198333965820561
TCGA-FK-A3SG-01A,0.258556803590034
TCGA-FK-A4UB-01A,0.199284843721052
TCGA-EL-A3T1-11A,0.730139687252803
TCGA-EM-A3SY-01A,0.485654377967199
TCGA-EL-A3ZR-01A,0.691745236651843
TCGA-J8-A3YG-01A,0.368041910031262
TCGA-EM-A2P1-01A,0.494224304313396
TCGA-ET-A3DT-01A,0.520885693983443
TCGA-DJ-A1QQ-01A,0.261565143015232
TCGA-J8-A3YH-06A,0.441214601150699
TCGA-DE-A69J-01A,0.279550593717605
TCGA-EL-A3TB-01A,0.227545428301579
TCGA-DJ-A3UX-01A,0.630670353442086
TCGA-BJ-A45C-01A,0.77761999836344
TCGA-BJ-A0ZG-01A,0.618037636094395
TCGA-BJ-A28W-01A,0.771380174095402
TCGA-DE-A4M8-01A,0.520257047314347
TCGA-DJ-A3VF-01A,0.322229942174659
TCGA-CE-A482-01A,0.283343114208718
TCGA-FE-A3PC-01A,0.397760491820592
TCGA-EM-A2OW-01A,0.740204572959723
TCGA-EL-A4K1-01A,0.258094804387888
TCGA-EL-A3GR-01A,0.349817877985098
TCGA-DJ-A4UT-01A,0.447752489847827
TCGA-DJ-A3VB-01A,0.272887403875503
TCGA-DJ-A2QA-01A,0.541969460758142
TCGA-DJ-A2QB-01A,0.649355098369418
TCGA-EM-A2P2-01A,0.247376465267123
TCGA-DJ-A13M-01A,0.395312088474183
TCGA-DE-A0Y3-01B,0.374808285130331
TCGA-H2-A3RI-11A,0.759825405813575
TCGA-FY-A3BL-01A,0.601601500909078
TCGA-DJ-A3VG-01A,0.584277975570003
TCGA-FY-A3R8-01A,0.310038643906147
TCGA-EM-A22J-01A,0.735061140721842
TCGA-BJ-A45I-01A,0.340302085813081
TCGA-EL-A3GW-01A,0.348865547371708
TCGA-DE-A4MD-06A,0.277978201072858
TCGA-EL-A3CZ-01A,0.754718300068979
TCGA-EL-A3TA-11A,0.778778005864792
TCGA-BJ-A2N7-11A,0.774145367841822
TCGA-EM-A3FL-01A,0.799391056468734
TCGA-ET-A39O-01A,0.272825583962319
TCGA-EL-A3GU-01A,0.182930771421572
TCGA-IM-A420-01A,0.361973085269042
TCGA-CE-A3ME-01A,0.746269837601973
TCGA-FK-A3SH-01A,0.211708036826849
TCGA-EM-A1YE-01A,0.744838232529872
TCGA-FE-A233-01A,0.350872361527984
TCGA-DJ-A1QL-01A,0.610205709006137
TCGA-EL-A3MX-01A,0.172597186834576
TCGA-EL-A3ZP-11A,0.740216678889861
TCGA-EL-A3ZP-01A,0.330480233519947
TCGA-ET-A2MY-11B,0.748774161320551
TCGA-ET-A25N-11A,0.73880966668103
TCGA-EL-A3MZ-01A,0.193941743886158
TCGA-DJ-A2PQ-01A,0.329652049599398
TCGA-EM-A4FN-01A,0.365373532448679
TCGA-EL-A3MW-01A,0.678844883718575
TCGA-EL-A3MW-11A,0.694297234671787
TCGA-E8-A2JQ-11A,0.7546445171096
TCGA-EM-A3FQ-01A,0.401507150090954
TCGA-EL-A3H8-01A,0.311596508006047
TCGA-DJ-A2PY-01A,0.371846608028695
TCGA-EL-A3CO-01A,0.632516560075894
TCGA-FE-A23A-01A,0.431395375705593
TCGA-EM-A3FN-01A,0.727414720259094
TCGA-EM-A4FU-01A,0.318708547085927
TCGA-EL-A3CT-01A,0.321055739678429
TCGA-EL-A3H5-01A,0.250918295375089
TCGA-FE-A232-01A,0.632068668146832
TCGA-FY-A3RA-01A,0.357174836322663
TCGA-ET-A25J-01A,0.34318336266651
TCGA-BJ-A28R-01A,0.306936858429714
TCGA-FY-A4B4-01A,0.29742259216056
TCGA-BJ-A0ZH-01A,0.417470018478218
TCGA-E8-A416-01A,0.714960274454092
TCGA-DJ-A4V5-01A,0.342420284212301
TCGA-E3-A3E1-01A,0.48742223541856
TCGA-EM-A1YD-11A,0.82549400632824
TCGA-DE-A4MA-01A,0.238194487287373
TCGA-EL-A3H1-01A,0.63624971309894
TCGA-FY-A40K-01A,0.470182273088908
TCGA-DJ-A13S-01A,0.552235055435645
TCGA-KS-A41F-01A,0.292121453346734
TCGA-DJ-A2Q0-01A,0.435751183574386
TCGA-IM-A41Z-01A,0.781033255532585
TCGA-FY-A3R7-01A,0.464832211671032
TCGA-EM-A3ST-01A,0.258305253516041
TCGA-BJ-A4O9-01A,0.836136151311936
TCGA-EM-A3ST-11A,0.8250928582525
TCGA-ET-A3BT-01A,0.24791397421041
TCGA-EM-A2OY-01A,0.840635090932127
TCGA-FY-A3R9-01A,0.732782173241988
TCGA-DJ-A3UK-01A,0.650945441614974
TCGA-ET-A39S-01A,0.462359621932173
TCGA-EL-A4KG-01A,0.349097502544383
TCGA-EL-A3GP-01A,0.276473350932356
TCGA-E3-A3DY-01A,0.513015935999701
TCGA-EL-A3ZL-01A,0.442452139554959
TCGA-DJ-A2Q1-01A,0.39962461786827
TCGA-EL-A3H7-11A,0.772515178829075
TCGA-J8-A3O1-01A,0.175642881507933
TCGA-E8-A3X7-01A,0.220039507963723
TCGA-EM-A3SU-01A,0.382171646256519
TCGA-DJ-A2PN-01A,0.326244517325106
TCGA-EM-A3SU-06A,0.536588424625479
TCGA-BJ-A2NA-11A,0.737728663995176
